TmStamp,example/f8:11,example/f8:12,sunny/grid power,sunspectest/grid power
2022-12-01 11:51:00-06:00,,,,282.0769230769231
2022-12-01 11:52:00-06:00,,,,282.42857142857144
2022-12-01 11:53:00-06:00,,,,283.3333333333333
2022-12-01 11:54:00-06:00,,,,284.17857142857144
2022-12-01 11:55:00-06:00,,,,281.75
2022-12-01 11:56:00-06:00,,,,284.875
2022-12-01 11:57:00-06:00,,,,285.2
2022-12-01 11:58:00-06:00,,,,286.1818181818182
2022-12-01 11:59:00-06:00,,,,286.6818181818182
2022-12-01 12:00:00-06:00,,,,287.0
2022-12-01 12:01:00-06:00,,,,286.40625
2022-12-01 12:02:00-06:00,,,,287.29411764705884
2022-12-01 12:03:00-06:00,,,,287.3478260869565
2022-12-01 12:04:00-06:00,,,,288.15
2022-12-01 12:05:00-06:00,,,,289.0
2022-12-01 12:06:00-06:00,,,,289.15
2022-12-01 12:07:00-06:00,,,,287.8636363636364
2022-12-01 12:08:00-06:00,,,,289.1666666666667
2022-12-01 12:09:00-06:00,,,,289.94117647058823
2022-12-01 12:10:00-06:00,,,,290.1764705882353
2022-12-01 12:11:00-06:00,,,,290.90909090909093
2022-12-01 12:12:00-06:00,,,,291.0
2022-12-01 12:13:00-06:00,,,,290.85714285714283
2022-12-01 12:14:00-06:00,,,,291.2173913043478
2022-12-01 12:15:00-06:00,,,,291.17391304347825
2022-12-01 12:16:00-06:00,,,,291.3809523809524
2022-12-01 12:17:00-06:00,,,,291.5263157894737
2022-12-01 12:18:00-06:00,,,,291.5
2022-12-01 12:19:00-06:00,,,,291.05
2022-12-01 12:20:00-06:00,,,,291.42857142857144
2022-12-01 12:21:00-06:00,,,,291.4736842105263
2022-12-01 12:22:00-06:00,,,,291.6818181818182
2022-12-01 12:23:00-06:00,,,,292.27272727272725
2022-12-01 12:24:00-06:00,,,,292.5
2022-12-01 12:25:00-06:00,,,,293.3333333333333
2022-12-01 12:26:00-06:00,,,,293.09090909090907
2022-12-01 12:27:00-06:00,,,,293.1
2022-12-01 12:28:00-06:00,,,,293.03333333333336
2022-12-01 12:29:00-06:00,,,,292.69565217391306
2022-12-01 12:30:00-06:00,,,,292.3529411764706
